epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,414.723,1.01428,0.9328,1.23471,0.49308,0.38123,0.36232,0.17408,2.12352,2.22867,2.22239,0.00159934,0.00159934,0.00159934
43,424.738,1.03907,0.9285,1.22436,0.49029,0.3262,0.30955,0.14037,2.18256,2.50727,2.23638,0.00159769,0.00159769,0.00159769
44,434.402,1.01055,0.90866,1.21582,0.51056,0.36298,0.35726,0.16998,2.14802,2.42621,2.26915,0.00159604,0.00159604,0.00159604
45,443.083,1.01172,0.93481,1.22413,0.46727,0.3361,0.32225,0.14362,2.20624,2.37536,2.31432,0.00159439,0.00159439,0.00159439
46,453.071,0.99676,0.86921,1.18603,0.44845,0.31551,0.30452,0.1425,2.22592,2.61523,2.35804,0.00159274,0.00159274,0.00159274
47,463.022,1.01586,0.89717,1.2255,0.39676,0.36304,0.32398,0.15523,2.14802,2.3692,2.27211,0.00159108,0.00159108,0.00159108
48,471.826,0.96171,0.86836,1.20069,0.41735,0.25734,0.25081,0.12086,2.16794,2.77572,2.29349,0.00158943,0.00158943,0.00158943
49,482.155,0.99365,0.86491,1.22188,0.39565,0.30405,0.27754,0.13436,2.14835,2.7969,2.2971,0.00158778,0.00158778,0.00158778
50,492.221,0.99122,0.834,1.18907,0.48595,0.26249,0.26045,0.11294,2.17605,3.05841,2.32508,0.00158613,0.00158613,0.00158613
51,502.324,0.95444,0.82412,1.17838,0.41267,0.364,0.32608,0.15347,2.20789,2.31834,2.3552,0.00158448,0.00158448,0.00158448
52,512.367,0.94604,0.81719,1.17992,0.43517,0.33724,0.30629,0.13785,2.14073,2.58374,2.2361,0.00158283,0.00158283,0.00158283
53,522.447,0.95957,0.81828,1.18551,0.35776,0.34768,0.30211,0.14618,2.13102,2.33841,2.24244,0.00158118,0.00158118,0.00158118
54,531.068,0.93203,0.7863,1.16358,0.46709,0.36389,0.32673,0.15769,2.20139,2.35752,2.32347,0.00157953,0.00157953,0.00157953
55,540.877,0.9357,0.76573,1.17065,0.47367,0.36726,0.32088,0.15355,2.21577,2.39215,2.30451,0.00157788,0.00157788,0.00157788
56,551.346,0.94552,0.77733,1.15598,0.44166,0.38941,0.33782,0.16566,2.14667,2.27806,2.26218,0.00157623,0.00157623,0.00157623
57,561.088,0.91212,0.7519,1.16161,0.50977,0.31414,0.3342,0.1633,2.14873,2.38644,2.2697,0.00157458,0.00157458,0.00157458
58,570.169,0.96143,0.79443,1.17142,0.43132,0.34054,0.30207,0.14744,2.14741,2.40816,2.24347,0.00157293,0.00157293,0.00157293
59,580.238,0.9283,0.80829,1.16225,0.52397,0.35922,0.3616,0.18208,2.11981,2.22195,2.18696,0.00157128,0.00157128,0.00157128
