epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,411.584,0.94095,0.8492,1.19405,0.42321,0.3365,0.28754,0.13047,2.20928,2.55744,2.32808,0.000990365,0.000990365,0.000990365
43,421.605,0.9381,0.81856,1.15552,0.50539,0.3819,0.38537,0.19655,1.99849,2.21474,2.0807,0.000973861,0.000973861,0.000973861
44,431.645,0.91367,0.80937,1.15276,0.51328,0.39988,0.40877,0.20282,1.99637,2.19443,2.10204,0.000957358,0.000957358,0.000957358
45,440.268,0.9314,0.81224,1.16926,0.46832,0.41192,0.38342,0.19937,2.01658,2.23498,2.09357,0.000940855,0.000940855,0.000940855
46,450.035,0.89832,0.76113,1.129,0.62423,0.38263,0.41656,0.20784,1.99462,2.13572,2.06185,0.000924352,0.000924352,0.000924352
47,459.971,0.89553,0.77468,1.16052,0.64692,0.33762,0.40614,0.19866,1.99769,2.1449,2.03917,0.000907848,0.000907848,0.000907848
48,468.557,0.86636,0.74403,1.14448,0.50354,0.38669,0.38809,0.19846,2.09799,2.15781,2.16012,0.000891345,0.000891345,0.000891345
49,478.816,0.90843,0.76268,1.15763,0.58955,0.37291,0.38679,0.19947,2.02884,2.13113,2.11039,0.000874842,0.000874842,0.000874842
50,488.728,0.91239,0.75069,1.13685,0.50515,0.34848,0.34911,0.16653,2.0525,2.39899,2.18096,0.000858338,0.000858338,0.000858338
51,497.096,0.8562,0.67897,1.11858,0.46033,0.34553,0.33401,0.16048,2.1474,2.36805,2.2958,0.000841835,0.000841835,0.000841835
52,507.129,0.87103,0.70707,1.13171,0.45617,0.35987,0.33241,0.15355,2.14629,2.36223,2.28395,0.000825332,0.000825332,0.000825332
53,517.074,0.861,0.71323,1.12417,0.45208,0.34417,0.32991,0.15196,2.13451,2.40623,2.28206,0.000808828,0.000808828,0.000808828
54,525.568,0.83362,0.67555,1.11011,0.52733,0.3951,0.40815,0.20253,2.06155,2.216,2.18534,0.000792325,0.000792325,0.000792325
55,535.68,0.84186,0.66897,1.11865,0.61233,0.373,0.39675,0.19846,2.03029,2.07393,2.08506,0.000775822,0.000775822,0.000775822
56,546.753,0.8374,0.68462,1.09598,0.53641,0.40734,0.42189,0.21095,2.06444,2.14193,2.17633,0.000759318,0.000759318,0.000759318
57,556.037,0.81414,0.66826,1.11226,0.57788,0.35528,0.39177,0.20004,2.04694,2.18461,2.13389,0.000742815,0.000742815,0.000742815
