epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,418.799,1.00831,0.93554,1.22496,0.4477,0.33532,0.30983,0.14642,2.16579,2.48129,2.25442,0.00139635,0.00139635,0.00139635
43,427.928,1.03401,0.93211,1.20576,0.61126,0.28521,0.32154,0.14978,2.13935,2.71805,2.12426,0.00138974,0.00138974,0.00138974
44,437.731,0.98695,0.88356,1.18864,0.54668,0.34628,0.34395,0.17287,2.03875,2.35951,2.16232,0.00138314,0.00138314,0.00138314
45,447.631,1.0515,0.90168,1.23691,0.48317,0.36623,0.32602,0.1482,2.16553,2.4269,2.26138,0.00137654,0.00137654,0.00137654
46,457.76,0.96181,0.83956,1.16316,0.46009,0.41549,0.37584,0.17153,2.11,2.26499,2.19957,0.00136994,0.00136994,0.00136994
47,466.813,0.99534,0.85483,1.21239,0.4352,0.37496,0.33029,0.1578,2.16208,2.44826,2.31692,0.00136334,0.00136334,0.00136334
48,476.884,0.92235,0.81138,1.17256,0.51955,0.36586,0.37024,0.17715,2.0236,2.17967,2.12592,0.00135674,0.00135674,0.00135674
49,487.211,0.96715,0.83678,1.20313,0.43707,0.38081,0.35446,0.18167,2.06389,2.27774,2.22968,0.00135014,0.00135014,0.00135014
50,495.954,0.97059,0.83761,1.18426,0.44905,0.40511,0.36189,0.17879,2.07133,2.33027,2.16426,0.00134354,0.00134354,0.00134354
51,506.092,0.91458,0.74712,1.15355,0.48622,0.3247,0.32823,0.15996,2.07854,2.33031,2.21032,0.00133693,0.00133693,0.00133693
52,516.062,0.92176,0.79494,1.16661,0.47433,0.31781,0.30246,0.13927,2.13356,2.36008,2.25933,0.00133033,0.00133033,0.00133033
53,525.111,0.94278,0.80225,1.16574,0.49594,0.31845,0.30553,0.13052,2.17116,2.36541,2.33353,0.00132373,0.00132373,0.00132373
54,534.89,0.90671,0.75816,1.15446,0.50239,0.32576,0.32754,0.15391,2.18019,2.42616,2.30511,0.00131713,0.00131713,0.00131713
55,545.039,0.90807,0.73808,1.16233,0.44537,0.36633,0.33519,0.16332,2.30359,2.36552,2.47571,0.00131053,0.00131053,0.00131053
56,555.52,0.92962,0.80512,1.14464,0.37713,0.3396,0.27537,0.12269,2.26837,2.55097,2.50193,0.00130393,0.00130393,0.00130393
57,564.313,0.89793,0.74002,1.15799,0.46654,0.37427,0.3627,0.17408,2.19828,2.423,2.34809,0.00129733,0.00129733,0.00129733
58,574.434,0.93822,0.77097,1.15422,0.44245,0.37917,0.35275,0.16783,2.16757,2.31378,2.28619,0.00129072,0.00129072,0.00129072
59,584.511,0.90632,0.7604,1.15126,0.52016,0.3693,0.36641,0.16864,2.13182,2.35899,2.2795,0.00128412,0.00128412,0.00128412
60,593.321,0.88088,0.73654,1.12342,0.46755,0.32787,0.32772,0.1588,2.20734,2.36124,2.35922,0.00127752,0.00127752,0.00127752
61,603.578,0.91505,0.76625,1.15501,0.47489,0.37803,0.33503,0.15914,2.12204,2.2812,2.25505,0.00127092,0.00127092,0.00127092
62,613.846,0.88999,0.76557,1.16208,0.53014,0.32079,0.32602,0.15501,2.07949,2.24553,2.16369,0.00126432,0.00126432,0.00126432
63,622.81,0.85331,0.69948,1.11714,0.45642,0.36509,0.36119,0.17483,2.18654,2.31533,2.32512,0.00125772,0.00125772,0.00125772
64,632.592,0.85989,0.72122,1.1161,0.5053,0.35492,0.34841,0.1739,2.19047,2.39407,2.37236,0.00125112,0.00125112,0.00125112
65,643.02,0.86392,0.70411,1.12368,0.54296,0.30226,0.3168,0.14936,2.13936,2.46842,2.28366,0.00124452,0.00124452,0.00124452
66,652.574,0.88121,0.74803,1.15672,0.50914,0.36542,0.34874,0.16223,2.14096,2.41644,2.25161,0.00123791,0.00123791,0.00123791
67,661.882,0.87279,0.70373,1.13373,0.40629,0.37809,0.32989,0.15926,2.17223,2.3944,2.24072,0.00123131,0.00123131,0.00123131
68,673.117,0.88097,0.71763,1.13651,0.3507,0.36365,0.30339,0.14635,2.13499,2.51125,2.22536,0.00122471,0.00122471,0.00122471
69,683.706,0.86141,0.6876,1.13681,0.4636,0.33343,0.33481,0.17676,2.09723,2.4935,2.15911,0.00121811,0.00121811,0.00121811
70,692.46,0.81821,0.64723,1.10135,0.46533,0.37455,0.34051,0.16434,2.14508,2.40842,2.23838,0.00121151,0.00121151,0.00121151
71,702.818,0.88862,0.70876,1.12713,0.52656,0.30328,0.31375,0.14814,2.18401,2.47,2.31862,0.00120491,0.00120491,0.00120491
72,712.957,0.87887,0.68083,1.13633,0.49143,0.37974,0.35964,0.17345,2.12602,2.25998,2.21359,0.00119831,0.00119831,0.00119831
73,722.25,0.84149,0.64338,1.10005,0.46763,0.35158,0.31408,0.14483,2.2152,2.53958,2.4177,0.0011917,0.0011917,0.0011917
74,731.589,0.84431,0.67292,1.11555,0.491,0.37427,0.3559,0.17453,2.17722,2.45222,2.41551,0.0011851,0.0011851,0.0011851
75,741.72,0.8426,0.66792,1.11229,0.43661,0.3556,0.32132,0.15289,2.19103,2.52476,2.37211,0.0011785,0.0011785,0.0011785
76,751.617,0.85534,0.67963,1.11117,0.4911,0.35716,0.35574,0.17168,2.14251,2.251,2.26224,0.0011719,0.0011719,0.0011719
77,760.3,0.83342,0.65854,1.10305,0.49919,0.36549,0.35903,0.16782,2.08905,2.28086,2.18594,0.0011653,0.0011653,0.0011653
78,770.369,0.84064,0.66862,1.11393,0.40227,0.35586,0.30937,0.14243,2.17679,2.38996,2.19605,0.0011587,0.0011587,0.0011587
79,780.251,0.83782,0.65394,1.09063,0.48722,0.37804,0.35156,0.1737,2.14554,2.50021,2.20193,0.0011521,0.0011521,0.0011521
80,788.87,0.85907,0.67718,1.10745,0.48601,0.34941,0.36349,0.18431,2.10126,2.26026,2.17957,0.0011455,0.0011455,0.0011455
81,799.1,0.8157,0.64503,1.09394,0.51498,0.42449,0.40234,0.19685,2.13921,2.10971,2.24944,0.00113889,0.00113889,0.00113889
82,809.423,0.84904,0.67188,1.11211,0.50213,0.39218,0.36972,0.18241,2.19586,2.27617,2.3501,0.00113229,0.00113229,0.00113229
83,818.143,0.83672,0.65272,1.10317,0.5076,0.3577,0.37492,0.18542,2.08915,2.22638,2.19095,0.00112569,0.00112569,0.00112569
84,828.199,0.82474,0.65032,1.09318,0.47042,0.36254,0.34095,0.15701,2.17752,2.44522,2.33928,0.00111909,0.00111909,0.00111909
85,838.382,0.80476,0.61656,1.09322,0.46293,0.34081,0.32119,0.15656,2.231,2.45626,2.41959,0.00111249,0.00111249,0.00111249
86,848.084,0.78847,0.60376,1.08341,0.47121,0.31921,0.30318,0.14768,2.22984,2.54006,2.41778,0.00110589,0.00110589,0.00110589
87,857.481,0.78655,0.61958,1.09626,0.49466,0.35164,0.33668,0.1681,2.16915,2.29799,2.318,0.00109929,0.00109929,0.00109929
88,867.697,0.8027,0.64919,1.09113,0.47385,0.32543,0.33185,0.16054,2.19653,2.42916,2.36636,0.00109269,0.00109269,0.00109269
89,878.047,0.77955,0.60855,1.09239,0.5082,0.36573,0.35446,0.17674,2.12725,2.25845,2.23702,0.00108608,0.00108608,0.00108608
90,886.588,0.76686,0.6001,1.07736,0.54759,0.34839,0.37391,0.1856,2.1493,2.25011,2.21088,0.00107948,0.00107948,0.00107948
91,896.61,0.79499,0.61649,1.09277,0.55009,0.34436,0.38384,0.19373,2.16134,2.30384,2.27836,0.00107288,0.00107288,0.00107288
92,906.806,0.77584,0.58935,1.07827,0.56379,0.32852,0.3326,0.16327,2.13425,2.39126,2.26005,0.00106628,0.00106628,0.00106628
93,915.683,0.79266,0.61091,1.09493,0.41619,0.38032,0.3237,0.15609,2.18023,2.65388,2.37777,0.00105968,0.00105968,0.00105968
94,925.771,0.76062,0.5946,1.07857,0.43248,0.33425,0.30253,0.14246,2.17931,2.69946,2.38404,0.00105308,0.00105308,0.00105308
95,935.969,0.76023,0.57328,1.05493,0.44744,0.37861,0.34709,0.17433,2.12552,2.48575,2.28227,0.00104648,0.00104648,0.00104648
96,945.639,0.7846,0.60381,1.07652,0.52647,0.33741,0.34794,0.17349,2.15711,2.34082,2.29208,0.00103987,0.00103987,0.00103987
97,954.885,0.77813,0.59764,1.07936,0.54297,0.31918,0.3505,0.17844,2.09549,2.30568,2.18636,0.00103327,0.00103327,0.00103327
98,966.774,0.75552,0.57642,1.05339,0.4894,0.36943,0.35858,0.17986,2.16055,2.32503,2.26548,0.00102667,0.00102667,0.00102667
99,976.827,0.75973,0.57392,1.07146,0.40347,0.34017,0.31619,0.16167,2.17302,2.37975,2.25482,0.00102007,0.00102007,0.00102007
100,985.847,0.76768,0.57972,1.06956,0.46553,0.33814,0.32351,0.15503,2.16275,2.54646,2.29006,0.00101347,0.00101347,0.00101347
101,995.762,0.74094,0.56216,1.05169,0.52996,0.3368,0.35253,0.17365,2.14301,2.53586,2.27495,0.00100687,0.00100687,0.00100687
102,1005.82,0.7376,0.56622,1.05945,0.51651,0.39817,0.37507,0.1775,2.16376,2.31491,2.28534,0.00100027,0.00100027,0.00100027
103,1014.79,0.76505,0.56914,1.06294,0.57982,0.37689,0.37498,0.17757,2.13707,2.24146,2.24181,0.000993665,0.000993665,0.000993665
104,1024.61,0.74965,0.55061,1.04743,0.56503,0.38039,0.39308,0.19038,2.15057,2.19099,2.27346,0.000987064,0.000987064,0.000987064
105,1034.65,0.73718,0.53812,1.05411,0.49918,0.37917,0.37277,0.19307,2.16434,2.18429,2.30897,0.000980463,0.000980463,0.000980463
106,1044.16,0.7153,0.52418,1.02391,0.4839,0.31756,0.33248,0.15595,2.19089,2.43429,2.42278,0.000973861,0.000973861,0.000973861
107,1053.64,0.72277,0.55325,1.03805,0.45994,0.34807,0.33883,0.16604,2.15418,2.37317,2.36196,0.00096726,0.00096726,0.00096726
108,1063.9,0.724,0.53324,1.03998,0.41893,0.37238,0.31826,0.15213,2.14108,2.5953,2.36026,0.000960659,0.000960659,0.000960659
109,1073.7,0.71642,0.52343,1.03332,0.42661,0.36318,0.30948,0.14523,2.16048,2.79015,2.35109,0.000954057,0.000954057,0.000954057
110,1082.49,0.71466,0.54079,1.03236,0.51311,0.32488,0.32103,0.15455,2.08601,2.60218,2.18505,0.000947456,0.000947456,0.000947456
111,1092.58,0.68909,0.52085,1.03005,0.51262,0.28779,0.30324,0.14265,2.16847,2.644,2.26565,0.000940855,0.000940855,0.000940855
